Вид спорта;Район;Число активированных спортзон по доступности;Удовлетворенность спортзонами
Стрельба из лука;район Лефортово;2;0.123
Бадминтон;район Лианозово;2;0.123
Сумо;район Марьино;1;0.123
Спортивная борьба;район Очаково-Матвеевское;5;0.123
Оздоровительная гимнастика;район Старое Крюково;2;0.123
Тяжелая атлетика;район Фили-Давыдково;5;0.123
Оздоровительная гимнастика;район Ховрино;3;0.123
Катание на лыжах;район Черёмушки;1;0.123
Фитнес-аэробика;район Щукино;5;0.123
Художественная гимнастика;район Южное Тушино;2;0.123
Художественная гимнастика;Алексеевский район;4;0.122
Ритмическая гимнастика;Бутырский район;5;0.122
Обучение правилам дорожного движения;Гагаринский район;2;0.122
Роллер спорт;Головинский район;3;0.122
Спортивная гимнастика;Красносельский район;2;0.122
Бокс;Ломоносовский район;2;0.122
Бодибилдинг;Нижегородский район;3;0.122
Катание с горки;Нижегородский район;5;0.122
Каратэ;Обручевский район;2;0.122
Бадминтон;район Богородское;4;0.122
Пауэрлифтинг;район Марьино;3;0.122
Бадминтон;район Митино;2;0.122
Гандбол;район Орехово-Борисово Северное;1;0.122
Плавание;район Ростокино;5;0.122
Лыжные гонки;район Фили-Давыдково;6;0.122
Кроссфит;район Чертаново Северное;3;0.122
Армрестлинг;Хорошёвский район;2;0.122
Комплексное единоборство;Бутырский район;1;0.121
Спортивная борьба;Донской район;3;0.121
Отдых у воды;Нагорный район;3;0.121
Семейный отдых;район Беговой;2;0.121
Художественная гимнастика;район Лефортово;3;0.121
Спортивное ориентирование;район Черёмушки;1;0.121
Роллер спорт;район Южное Медведково;2;0.121
Капоэйра;Тверской район;1;0.121
Ритмическая гимнастика;Лосиноостровский район;1;0.120
Самбо;Мещанский район;5;0.120
Футбол;поселение Вороновское;1;0.120
Самбо;район Аэропорт;2;0.120
Капоэйра;район Беговой;1;0.120
Аэробика;район Братеево;1;0.120
Танцевальный спорт;район Котловка;5;0.120
Чир спорт;район Лианозово;1;0.120
Самбо;район Нагатинский Затон;4;0.120
Бокс;район Силино;2;0.120
Роллер спорт;район Тёплый Стан;1;0.120
Фигурное катание;район Ховрино;2;0.120
Аэробика;район Хорошёво-Мнёвники;2;0.120
Каратэ;район Хорошёво-Мнёвники;2;0.120
Танцевальный спорт;район Южное Тушино;1;0.120
Отдых на природе;Хорошёвский район;3;0.120
Лыжные гонки;Алтуфьевский район;3;0.119
Художественная гимнастика;Останкинский район;5;0.119
Развивающие игры для детей;поселение Щербинка;6;0.119
Спортивная гимнастика;район Беговой;3;0.119
Катание с горки;район Братеево;5;0.119
Пулевая стрельба;район Замоскворечье;1;0.119
Тхэквондо;район Ивановское;5;0.119
Тяжелая атлетика;район Крылатское;4;0.119
Обучение правилам дорожного движения;район Нагатинский Затон;1;0.119
Спортивная аэробика;район Проспект Вернадского;2;0.119
Художественная гимнастика;район Строгино;3;0.119
Фигурное катание;район Чертаново Северное;2;0.119
Бодибилдинг;район Якиманка;3;0.119
Армрестлинг;Савёловский район;3;0.119
Велопрогулки;Алексеевский район;3;0.118
Танцевальный спорт;Головинский район;4;0.118
Аэробика;Даниловский район;2;0.118
Самбо;Обручевский район;3;0.118
Аэробика;район Западное Дегунино;2;0.118
Фигурное катание;район Ивановское;2;0.118
Спортивная борьба;район Люблино;2;0.118
Ритмическая гимнастика;район Новогиреево;5;0.118
Бодибилдинг;район Перово;2;0.118
Скейтбординг;район Савёлки;1;0.118
Фитнес-аэробика;район Свиблово;6;0.118
Теннис;Красносельский район;8;0.117
Хореография;район Арбат;2;0.117
Катание с горки;район Аэропорт;2;0.117
Фитнес-аэробика;район Аэропорт;3;0.117
Каратэ;район Вешняки;3;0.117
Тяжелая атлетика;район Выхино-Жулебино;1;0.117
Шашки;район Коптево;5;0.117
Пауэрлифтинг;район Кузьминки;3;0.117
Роллер спорт;район Левобережный;1;0.117
Фитнес-аэробика;район Левобережный;4;0.117
Спортивная акробатика;район Метрогородок;2;0.117
Катание с горки;район Савёлки;1;0.117
Хоккей на траве;район Филёвский Парк;2;0.117
Спортивная гимнастика;район Черёмушки;4;0.117
Аэробика;район Щукино;3;0.117
Гандбол;район Южное Тушино;2;0.117
Бадминтон;Тимирязевский район;3;0.117
Самбо;Басманный район;3;0.116
Бег;Войковский район;5;0.116
Катание на лыжах;Гагаринский район;1;0.116
Аэробика;Донской район;2;0.116
Танцевальный спорт;Нагорный район;2;0.116
Роллер спорт;район Беговой;3;0.116
Самбо;район Беговой;5;0.116
Хоккей;район Внуково;1;0.116
Художественная гимнастика;район Восточное Дегунино;2;0.116
Отдых на природе;район Выхино-Жулебино;6;0.116
Бадминтон;район Коптево;6;0.116
Гандбол;район Кунцево;2;0.116
Бадминтон;район Перово;3;0.116
Скалолазание;район Покровское-Стрешнево;2;0.116
Танцевальный спорт;район Силино;2;0.116
Тяжелая атлетика;район Хамовники;5;0.116
Автомобильный спорт;район Чертаново Южное;3;0.116
Шахматы;район Южное Бутово;1;0.116
Бокс;Бабушкинский район;4;0.115
Йога;Бутырский район;2;0.115
Фитнес-аэробика;Бутырский район;3;0.115
Бодибилдинг;Красносельский район;7;0.115
Теннис;Мещанский район;4;0.115
Бадминтон;Можайский район;2;0.115
Настольные игры;Нагорный район;3;0.115
Катание с горки;поселение Мосрентген;1;0.115
Спортивная акробатика;район Беговой;2;0.115
Стрельба из арбалета;район Беговой;1;0.115
Стрельба из лука;район Беговой;1;0.115
Шахматы;район Беговой;3;0.115
Кикбоксинг;район Бирюлёво Западное;1;0.115
Фитнес-аэробика;район Зюзино;5;0.115
Акробатический рок-н-ролл;район Кунцево;1;0.115
Катание на лыжах;район Ховрино;2;0.115
Эстетическая гимнастика;Рязанский район;2;0.115
Самбо;Ярославский район;2;0.115
Аквааэробика;Донской район;6;0.114
Бильярдный спорт;Мещанский район;2;0.114
Йога;Обручевский район;1;0.114
Настольный теннис;поселение Московский;12;0.114
Плавание;поселение Щербинка;2;0.114
Шахматы;район Вешняки;3;0.114
Отдых на природе;район Восточное Дегунино;5;0.114
Лыжные гонки;район Дорогомилово;3;0.114
Катание на лыжах;район Западное Дегунино;2;0.114
Танцевальный спорт;район Измайлово;5;0.114
Лыжные гонки;район Коньково;5;0.114
Каратэ;район Котловка;3;0.114
Гандбол;район Крылатское;3;0.114
Катание на лыжах;район Люблино;5;0.114
Хореография;район Митино;2;0.114
Петанк;район Преображенское;1;0.114
Пауэрлифтинг;район Северное Медведково;3;0.114
Тяжелая атлетика;район Северное Медведково;3;0.114
Скейтбординг;район Силино;2;0.114
Ритмическая гимнастика;район Соколиная Гора;4;0.114
Семейный отдых;Тверской район;2;0.114
Катание с горки;Алексеевский район;6;0.113
Бодибилдинг;Басманный район;5;0.113
Айкидо;Головинский район;2;0.113
Комплексное единоборство;Красносельский район;2;0.113
Катание на лыжах;район Бирюлёво Восточное;3;0.113
Восточное единоборство;район Зябликово;2;0.113
Тяжелая атлетика;район Кузьминки;4;0.113
Петанк;район Левобережный;1;0.113
Самбо;район Нагатино-Садовники;2;0.113
Тяжелая атлетика;район Ново-Переделкино;2;0.113
Шахматы;район Савёлки;1;0.113
Пулевая стрельба;район Солнцево;1;0.113
Спортивная борьба;район Тропарёво-Никулино;4;0.113
Бодибилдинг;район Хамовники;5;0.113
Автомобильный спорт;район Южное Медведково;1;0.113
Самбо;район Ясенево;2;0.113
Фитнес-аэробика;Бабушкинский район;4;0.112
Бадминтон;Басманный район;5;0.112
Спортивная гимнастика;Басманный район;3;0.112
Танцевальный спорт;район Бибирево;2;0.112
Фигурное катание;район Бирюлёво Западное;1;0.112
Художественная гимнастика;район Братеево;1;0.112
Скейтбординг;район Восточное Дегунино;2;0.112
Фигурное катание;район Восточное Измайлово;3;0.112
Дзюдо;район Зябликово;2;0.112
Отдых на природе;район Измайлово;6;0.112
Спортивное ориентирование;район Матушкино;4;0.112
Фитнес-аэробика;район Северное Медведково;2;0.112
Рукопашный бой;район Ховрино;6;0.112
Прокат спортинвентаря;район Южное Медведково;1;0.112
Аквааэробика;район Якиманка;7;0.112
Игра в снежки;Савёловский район;2;0.112
Ритмическая гимнастика;Алексеевский район;5;0.111
Каратэ;Алтуфьевский район;3;0.111
Катание на лыжах;Головинский район;2;0.111
Баскетбол;поселение Щаповское;1;0.111
Бадминтон;район Арбат;3;0.111
Восточное единоборство;район Замоскворечье;3;0.111
Скейтбординг;район Крылатское;2;0.111
Лыжные гонки;район Марфино;4;0.111
Стрельба из лука;район Северное Бутово;1;0.111
Хоккей на траве;район Северное Бутово;1;0.111
Городошный спорт;район Силино;2;0.111
Айкидо;район Сокол;3;0.111
Самбо;район Сокольники;4;0.111
Отдых на природе;Рязанский район;4;0.111
Ритмическая гимнастика;Войковский район;5;0.110
Бокс;Головинский район;3;0.110
Фигурное катание;Головинский район;2;0.110
Дартс;Останкинский район;3;0.110
Велоспорт ВМХ;поселение Мосрентген;2;0.110
Самбо;Пресненский район;2;0.110
Аквааэробика;район Аэропорт;4;0.110
Бег;район Аэропорт;3;0.110
Отдых у воды;район Беговой;2;0.110
Бадминтон;район Восточное Дегунино;4;0.110
Каратэ;район Замоскворечье;2;0.110
Фитнес-аэробика;район Коптево;4;0.110
Скейтбординг;район Орехово-Борисово Северное;2;0.110
Скалолазание;район Ховрино;3;0.110
Флорбол;район Чертаново Северное;3;0.110
Велопрогулки;район Чертаново Южное;2;0.110
Кёрлинг;Академический район;1;0.109
Самбо;Бабушкинский район;3;0.109
Городошный спорт;район Зюзино;1;0.109
Художественная гимнастика;район Свиблово;4;0.109
Бокс;район Тёплый Стан;3;0.109
Бокс;район Хамовники;4;0.109
Армрестлинг;Южнопортовый район;2;0.109
Гиревой спорт;Южнопортовый район;2;0.109
Спорт лиц с ОВЗ;Южнопортовый район;2;0.109
Чир спорт;Войковский район;1;0.108
Зумба;район Вешняки;1;0.108
Оздоровительная гимнастика;район Левобережный;3;0.108
Гандбол;район Нагатинский Затон;1;0.108
Скалолазание;район Отрадное;2;0.108
Флорбол;район Отрадное;1;0.108
Скалолазание;район Северное Медведково;1;0.108
Плавание;Бабушкинский район;4;0.107
Бокс;Войковский район;2;0.107
Отдых на природе;Даниловский район;2;0.107
Самбо;Красносельский район;4;0.107
Бег;Нагорный район;5;0.107
Танцевальный спорт;Нижегородский район;3;0.107
Спортивная гимнастика;район Арбат;3;0.107
Гандбол;район Бибирево;2;0.107
Танцевальный спорт;район Богородское;2;0.107
Тяжелая атлетика;район Вешняки;4;0.107
Акробатический рок-н-ролл;район Восточное Измайлово;1;0.107
Художественная гимнастика;район Западное Дегунино;4;0.107
Рукопашный бой;район Левобережный;4;0.107
Отдых у воды;район Марьина Роща;3;0.107
Эстетическая гимнастика;район Орехово-Борисово Северное;1;0.107
Бадминтон;район Раменки;5;0.107
Развивающие игры для детей;район Северный;8;0.107
Петанк;район Сокольники;1;0.107
Спортивная гимнастика;район Сокольники;2;0.107
Роллер спорт;район Строгино;3;0.107
Обучение правилам дорожного движения;район Фили-Давыдково;1;0.107
Пейнтбол;район Чертаново Северное;1;0.107
Страйкбол;район Чертаново Северное;1;0.107
Роллер спорт;Бескудниковский район;2;0.106
Бильярдный спорт;Нагорный район;1;0.106
Спортивная аэробика;Обручевский район;1;0.106
Спортивная гимнастика;Пресненский район;1;0.106
Армрестлинг;район Арбат;1;0.106
Художественная гимнастика;район Бибирево;2;0.106
Самбо;район Дорогомилово;1;0.106
Спортивное ориентирование;район Зюзино;0;0.106
Шахматы;район Ивановское;2;0.106
Акробатический рок-н-ролл;район Марьино;2;0.106
Отдых на природе;район Москворечье-Сабурово;1;0.106
Катание на лыжах;район Нагатинский Затон;2;0.106
Бокс;район Перово;3;0.106
Тяжелая атлетика;район Свиблово;4;0.106
Шахматы;район Силино;1;0.106
Йога;район Тёплый Стан;1;0.106
Бодибилдинг;район Филёвский Парк;3;0.106
Обучение правилам дорожного движения;район Чертаново Северное;1;0.106
Зумба;район Южное Бутово;0;0.106
Фигурное катание;район Якиманка;4;0.106
Лыжные гонки;Бутырский район;2;0.105
Отдых на природе;Останкинский район;1;0.105
Сумо;поселение Мосрентген;1;0.105
Танцевальный спорт;район Аэропорт;2;0.105
Бодибилдинг;район Котловка;5;0.105
Катание с горки;район Марьина Роща;2;0.105
Пулевая стрельба;район Нагатинский Затон;1;0.105
Бокс;район Сокол;2;0.105
Шашки;район Ховрино;2;0.105
Семейный отдых;район Чертаново Центральное;1;0.105
Синхронное плавание;район Южное Медведково;2;0.105
Дартс;Тимирязевский район;2;0.105
Йога;Тимирязевский район;3;0.105
Ритмическая гимнастика;Южнопортовый район;5;0.105
Отдых на природе;Алексеевский район;2;0.104
Скейтбординг;Бескудниковский район;2;0.104
Скалолазание;Донской район;3;0.104
Шашки;Мещанский район;3;0.104
Шашки;Останкинский район;3;0.104
Зумба;поселение Мосрентген;1;0.104
Тяжелая атлетика;район Аэропорт;4;0.104
Бодибилдинг;район Замоскворечье;5;0.104
Бильярдный спорт;район Марьина Роща;3;0.104
Бодибилдинг;район Новокосино;2;0.104
Тяжелая атлетика;район Новокосино;3;0.104
Прыжки в воду;район Преображенское;1;0.104
Хоккей на траве;район Проспект Вернадского;2;0.104
Бокс;район Северное Измайлово;1;0.104
Дзюдо;Рязанский район;4;0.104
Фитнес-аэробика;Рязанский район;2;0.104
Тяжелая атлетика;Тверской район;2;0.104
Пауэрлифтинг;Алексеевский район;4;0.103
Синхронное плавание;Бутырский район;1;0.103
Комплексные мероприятия;Даниловский район;2;0.103
Лыжные гонки;поселение Московский;1;0.103
Отдых на природе;район Левобережный;8;0.103
Дзюдо;район Марьино;3;0.103
Гребля на шлюпках;район Москворечье-Сабурово;3;0.103
Хоккей на траве;район Москворечье-Сабурово;2;0.103
Прокат спортинвентаря;район Ростокино;6;0.103
Пауэрлифтинг;район Строгино;3;0.103
Тяжелая атлетика;район Филёвский Парк;5;0.103
Шахматы;район Ховрино;2;0.103
Фитнес-аэробика;район Чертаново Южное;4;0.103
Катание с горки;район Южное Бутово;2;0.103
Спортивная акробатика;Тверской район;2;0.103
Хореография;Хорошёвский район;2;0.103
Дартс;Алексеевский район;2;0.102
Бодибилдинг;Мещанский район;5;0.102
Бильярдный спорт;район Левобережный;1;0.102
Фигурное катание;район Лианозово;8;0.102
Эстетическая гимнастика;район Орехово-Борисово Южное;2;0.102
Семейный отдых;район Отрадное;2;0.102
Фигурное катание;район Свиблово;3;0.102
Художественная гимнастика;район Северное Медведково;2;0.102
Плавание;район Сокол;4;0.102
Рукопашный бой;район Сокол;4;0.102
Армрестлинг;Таганский район;3;0.102
Кикбоксинг;Академический район;2;0.101
Кикбоксинг;Войковский район;2;0.101
Бег;Даниловский район;2;0.101
Теннис;район Арбат;3;0.101
Шахматы;район Братеево;1;0.101
Спортивная гимнастика;район Дорогомилово;2;0.101
Каратэ;район Коньково;3;0.101
Отдых на природе;район Кузьминки;5;0.101
Теннис;район Кузьминки;4;0.101
Мини-гольф;район Отрадное;1;0.101
Прокат спортинвентаря;район Северное Тушино;1;0.101
Танцевальный спорт;район Северное Тушино;1;0.101
Каратэ;район Сокольники;5;0.101
Бадминтон;район Ховрино;5;0.101
Каратэ;район Щукино;2;0.101
Комплексные мероприятия;район Якиманка;2;0.101
Каратэ;Южнопортовый район;4;0.101
Фитнес-аэробика;Алексеевский район;3;0.100
Бег;Бескудниковский район;2;0.100
Аквааэробика;Головинский район;4;0.100
Сумо;Ломоносовский район;1;0.100
Катание на лыжах;Нижегородский район;3;0.100
Дзюдо;Обручевский район;2;0.100
Катание на лыжах;Обручевский район;3;0.100
Комплексные мероприятия;район Замоскворечье;2;0.100
Прыжки на батуте;район Котловка;4;0.100
Практическая стрельба;район Ново-Переделкино;1;0.100
Катание на лыжах;район Соколиная Гора;2;0.100
Лыжные гонки;Таганский район;2;0.100
Хоккей на траве;Таганский район;0;0.100
Шашки;Тверской район;1;0.100
Плавание;Южнопортовый район;4;0.100
Кроссфит;Бутырский район;1;0.099
Обучение правилам дорожного движения;Бутырский район;2;0.099
Катание на санках;район Бирюлёво Западное;1;0.099
Каратэ;район Выхино-Жулебино;3;0.099
Акробатический рок-н-ролл;район Дорогомилово;3;0.099
Ритмическая гимнастика;район Коптево;4;0.099
Катание на лыжах;район Лефортово;3;0.099
Дартс;район Марьина Роща;3;0.099
Самбо;район Марьина Роща;2;0.099
Практическая стрельба;район Марьино;1;0.099
Пауэрлифтинг;район Матушкино;3;0.099
Биатлон;район Москворечье-Сабурово;2;0.099
Лыжное двоеборье;район Москворечье-Сабурово;2;0.099
Прокат спортинвентаря;район Свиблово;2;0.099
Художественная гимнастика;район Соколиная Гора;3;0.099
Гольф;район Ховрино;1;0.099
Пауэрлифтинг;Головинский район;4;0.098
Плавание;Нагорный район;4;0.098
Спортивная борьба;Нагорный район;2;0.098
Капоэйра;район Арбат;3;0.098
Катание на санках;район Выхино-Жулебино;1;0.098
Фехтование;район Зюзино;3;0.098
Пулевая стрельба;район Коптево;2;0.098
Прокат спортинвентаря;район Куркино;3;0.098
Бокс;район Марьина Роща;2;0.098
Бадминтон;район Метрогородок;5;0.098
Обучение правилам дорожного движения;район Проспект Вернадского;1;0.098
Катание на лыжах;район Раменки;4;0.098
Аквааэробика;район Ростокино;6;0.098
Гандбол;район Северное Тушино;2;0.098
Рукопашный бой;район Северное Тушино;1;0.098
Ритмическая гимнастика;район Фили-Давыдково;2;0.098
Спортивная борьба;район Черёмушки;2;0.098
Лыжные гонки;Южнопортовый район;3;0.098
Обучение правилам дорожного движения;Южнопортовый район;1;0.098
Армрестлинг;Пресненский район;1;0.097
Ушу;район Вешняки;2;0.097
Бейсбол;район Зябликово;1;0.097
Шахматы;район Зябликово;1;0.097
Тяжелая атлетика;район Куркино;2;0.097
Бадминтон;район Лефортово;4;0.097
Бег;район Лефортово;5;0.097
Тяжелая атлетика;район Новогиреево;4;0.097
Бадминтон;район Печатники;6;0.097
Плавание;район Печатники;4;0.097
Дзюдо;район Проспект Вернадского;5;0.097
Пулевая стрельба;район Раменки;2;0.097
Акробатический рок-н-ролл;район Северное Бутово;1;0.097
Ритмическая гимнастика;район Северное Измайлово;1;0.097
Тяжелая атлетика;район Сокол;4;0.097
Каратэ;район Тёплый Стан;2;0.097
Смешанное единоборство (ММА);район Тёплый Стан;1;0.097
Художественная гимнастика;район Чертаново Центральное;2;0.097
Отдых у воды;район Южное Тушино;8;0.097
Шашки;Алексеевский район;1;0.096
Футбольный фристайл;Басманный район;1;0.096
Шахматы;Красносельский район;5;0.096
Йога;Мещанский район;2;0.096
Водное поло;Пресненский район;1;0.096
Практическая стрельба;Пресненский район;2;0.096
Отдых на природе;район Зюзино;4;0.096
Художественная гимнастика;район Зябликово;1;0.096
Отдых на природе;район Коньково;4;0.096
Спортивная борьба;район Коптево;4;0.096
Ушу;район Коптево;3;0.096
Самбо;район Лианозово;2;0.096
Игра в снежки;район Новокосино;4;0.096
Рукопашный бой;район Орехово-Борисово Северное;2;0.096
Аэробика;район Проспект Вернадского;3;0.096
Фигурное катание;район Проспект Вернадского;3;0.096
Самбо;район Царицыно;3;0.096
Бадминтон;район Чертаново Северное;7;0.096
Каратэ;район Чертаново Северное;2;0.096
Отдых на природе;район Чертаново Северное;3;0.096
Гиревой спорт;Рязанский район;2;0.096
Роллер спорт;Савёловский район;2;0.096
Полиатлон;Бескудниковский район;2;0.095
Бодибилдинг;Бутырский район;3;0.095
Каратэ;Ломоносовский район;3;0.095
Дартс;Нагорный район;2;0.095
Хоккей;поселение Московский;8;0.095
Бокс;Пресненский район;3;0.095
Комплексное единоборство;район Арбат;1;0.095
Скейтбординг;район Беговой;3;0.095
Айкидо;район Вешняки;2;0.095
Флорбол;район Восточное Измайлово;1;0.095
Аквааэробика;район Выхино-Жулебино;3;0.095
Дзюдо;район Ивановское;4;0.095
Практическая стрельба;район Крюково;1;0.095
Художественная гимнастика;район Лианозово;2;0.095
Спортивная гимнастика;район Матушкино;1;0.095
Художественная гимнастика;район Матушкино;1;0.095
Гандбол;район Новокосино;1;0.095
Оздоровительная гимнастика;район Савёлки;1;0.095
Шахматы;район Свиблово;6;0.095
Фитнес-аэробика;район Сокольники;3;0.095
Кроссфит;район Царицыно;2;0.095
Тайский бокс;Таганский район;1;0.095
Восточное единоборство;Даниловский район;3;0.094
Йога;Ломоносовский район;1;0.094
Флорбол;Нагорный район;1;0.094
Тхэквондо;Останкинский район;2;0.094
Йога;район Вешняки;2;0.094
Спортивная акробатика;район Дорогомилово;1;0.094
Смешанное единоборство (ММА);район Зюзино;1;0.094
Дартс;район Зябликово;1;0.094
Семейный отдых;район Крылатское;6;0.094
Катание на лыжах;район Москворечье-Сабурово;4;0.094
Спортивная борьба;район Москворечье-Сабурово;3;0.094
Обучение правилам дорожного движения;район Савёлки;1;0.094
Синхронное плавание;район Северное Медведково;1;0.094
Спортивное ориентирование;район Старое Крюково;1;0.094
Ритмическая гимнастика;район Филёвский Парк;5;0.094
Обучение правилам дорожного движения;район Черёмушки;1;0.094
Роллер спорт;Тверской район;1;0.094
Скейтбординг;Тверской район;1;0.094
Бокс;Бескудниковский район;2;0.093
Самбо;Донской район;2;0.093
Катание с горки;Останкинский район;6;0.093
Стрельба из лука;Пресненский район;1;0.093
Акробатический рок-н-ролл;район Бибирево;1;0.093
Фитнес-аэробика;район Бибирево;2;0.093
Американский футбол;район Восточное Дегунино;1;0.093
Аэробика;район Восточное Дегунино;1;0.093
Самбо;район Восточное Измайлово;3;0.093
Ушу;район Коньково;2;0.093
Спортивная гимнастика;район Коптево;2;0.093
Тяжелая атлетика;район Кунцево;2;0.093
Скалолазание;район Левобережный;5;0.093
Фитнес-аэробика;район Марфино;2;0.093
Плавание;район Митино;2;0.093
Самбо;район Ново-Переделкино;1;0.093
Сумо;район Ново-Переделкино;1;0.093
Отдых на природе;район Свиблово;5;0.093
Семейный отдых;район Северное Измайлово;3;0.093
Пауэрлифтинг;район Текстильщики;2;0.093
Бодибилдинг;район Тропарёво-Никулино;2;0.093
Роллер спорт;район Фили-Давыдково;2;0.093
Роллер спорт;район Ховрино;2;0.093
Спортивная борьба;район Чертаново Северное;4;0.093
Спортивная борьба;район Чертаново Центральное;3;0.093
Фигурное катание;район Чертаново Южное;2;0.093
Лыжное двоеборье;район Ясенево;2;0.093
Танцевальный спорт;Южнопортовый район;3;0.093
Пауэрлифтинг;Ярославский район;1;0.093
Ритмическая гимнастика;Ярославский район;1;0.093
Йога;Алексеевский район;6;0.092
Хореография;Алексеевский район;1;0.092
Хореография;Гагаринский район;4;0.092
Фехтование;Нагорный район;3;0.092
Бокс;поселение Мосрентген;2;0.092
Киокусинкай;поселение Мосрентген;1;0.092
Оздоровительная гимнастика;поселение Сосенское;3;0.092
Комплексное единоборство;район Аэропорт;1;0.092
Рукопашный бой;район Аэропорт;1;0.092
Гандбол;район Бирюлёво Восточное;1;0.092
Катание на коньках;район Восточный;0;0.092
Игра в снежки;район Измайлово;3;0.092
Шахматы;район Коньково;1;0.092
Спортивная гимнастика;район Крюково;1;0.092
Бокс;район Лефортово;2;0.092
Семейный отдых;район Марьина Роща;2;0.092
Семейный отдых;район Марьино;3;0.092
Отдых на природе;район Солнцево;1;0.092
Бодибилдинг;район Строгино;1;0.092
Чир спорт;район Строгино;1;0.092
Шахматы;район Фили-Давыдково;2;0.092
Спортивная акробатика;район Хамовники;3;0.092
Настольные игры;район Ховрино;1;0.092
Бадминтон;район Южное Медведково;3;0.092
Гиревой спорт;Таганский район;3;0.092
Спорт лиц с ОВЗ;Таганский район;3;0.092
Тайский бокс;Тверской район;1;0.092
Катание на санках;Южнопортовый район;2;0.092
Спортивная борьба;Бескудниковский район;2;0.091
Автомобильный спорт;Бутырский район;2;0.091
Теннис;Даниловский район;2;0.091
Гандбол;Лосиноостровский район;1;0.091
Дзюдо;Нагорный район;3;0.091
Стрельба из арбалета;Пресненский район;1;0.091
Обучение правилам дорожного движения;район Арбат;3;0.091
Тяжелая атлетика;район Арбат;4;0.091
Смешанное единоборство (ММА);район Аэропорт;1;0.091
Сумо;район Аэропорт;1;0.091
Тайский бокс;район Аэропорт;1;0.091
Бокс;район Восточное Дегунино;1;0.091
Ритмическая гимнастика;район Восточное Дегунино;2;0.091
Скейтбординг;район Дорогомилово;2;0.091
Дзюдо;район Зюзино;3;0.091
Армрестлинг;район Зябликово;1;0.091
Кроссфит;район Ивановское;1;0.091
Бокс;район Крылатское;2;0.091
Танцевальный спорт;район Чертаново Южное;3;0.091
Автомобильный спорт;Южнопортовый район;1;0.091
Велоспорт ВМХ;Южнопортовый район;1;0.091
Гандбол;Алтуфьевский район;1;0.090
Шахматы;Басманный район;2;0.090
Плавание;Даниловский район;3;0.090
Катание на лыжах;Лосиноостровский район;3;0.090
Фитнес-аэробика;Нагорный район;3;0.090
Пауэрлифтинг;Обручевский район;2;0.090
Фигурное катание;Пресненский район;3;0.090
Семейный отдых;район Братеево;2;0.090
Катание на санках;район Восточное Измайлово;1;0.090
Дзюдо;район Дорогомилово;2;0.090
Армлифтинг;район Зябликово;1;0.090
Гиревой спорт;район Зябликово;1;0.090
Спортивная аэробика;район Зябликово;1;0.090
Художественная гимнастика;район Ивановское;5;0.090
Шахматы;район Лефортово;2;0.090
Фитнес-аэробика;район Марьина Роща;3;0.090
Фитнес-аэробика;район Отрадное;4;0.090
Хоккей на траве;район Отрадное;1;0.090
Велоспорт ВМХ;район Силино;2;0.090
Зумба;район Хамовники;1;0.090
Шахматы;район Хамовники;2;0.090
Велопрогулки;район Черёмушки;1;0.090
Скейтбординг;район Щукино;1;0.090
Пауэрлифтинг;район Южное Бутово;2;0.090
Спортивный туризм;район Южное Бутово;1;0.090
Самбо;район Южное Медведково;2;0.090
Тяжелая атлетика;район Южное Медведково;3;0.090
Армрестлинг;Тимирязевский район;2;0.090
Катание на лыжах;Хорошёвский район;1;0.090
Дартс;Алтуфьевский район;2;0.089
Катание на лыжах;Басманный район;1;0.089
Тайский бокс;Басманный район;2;0.089
Чир спорт;Бескудниковский район;2;0.089
Шашки;Головинский район;2;0.089
Семейный отдых;Донской район;3;0.089
Прыжки на батуте;Лосиноостровский район;1;0.089
Лыжные гонки;Нижегородский район;4;0.089
Пауэрлифтинг;поселение Мосрентген;2;0.089
Практическая стрельба;район Беговой;2;0.089
Акробатический рок-н-ролл;район Богородское;1;0.089
Лыжные гонки;район Восточное Дегунино;3;0.089
Спортивная гимнастика;район Замоскворечье;4;0.089
Каратэ;район Куркино;1;0.089
Шашки;район Марьина Роща;2;0.089
Фитнес-аэробика;район Матушкино;3;0.089
Обучение правилам дорожного движения;район Новогиреево;1;0.089
Шахматы;район Новогиреево;2;0.089
Катание на лыжах;район Новокосино;1;0.089
Каратэ;район Орехово-Борисово Северное;2;0.089
Синхронное плавание;район Свиблово;1;0.089
Дартс;район Чертаново Северное;1;0.089
Бокс;район Южное Тушино;2;0.089
Бильярдный спорт;район Якиманка;2;0.089
Скейтбординг;Савёловский район;1;0.089
Джиу-джитсу;Хорошёвский район;2;0.089
Роллер спорт;Бабушкинский район;2;0.088
Игра в снежки;Бескудниковский район;1;0.088
Дартс;Бутырский район;3;0.088
Скейтбординг;Гагаринский район;3;0.088
Самбо;Даниловский район;4;0.088
Бадминтон;Лосиноостровский район;2;0.088
Общая физическая подготовка;поселение Краснопахорское;3;0.088
Армрестлинг;район Восточное Дегунино;2;0.088
Шахматы;район Восточное Дегунино;3;0.088
Хореография;район Дорогомилово;2;0.088
Прокат спортинвентаря;район Западное Дегунино;1;0.088
Фигурное катание;район Измайлово;2;0.088
Плавание;район Крюково;1;0.088
Дзюдо;район Лианозово;1;0.088
Тхэквондо;район Марьина Роща;2;0.088
Роллер спорт;район Покровское-Стрешнево;4;0.088
Отдых на природе;район Северное Измайлово;5;0.088
